movie_name,title_year,genres,duration,director_name,movie_imdb_link,content_rating,imdb_score,num_voted_users,num_user_for_reviews
16 Blocks,2006,Action|Crime|Drama|Thriller,102,Richard Donner,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,PG-13,6.6,112769,305
16 to Life,2009,Comedy|Romance,89,Becky Smith,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,,6.3,397,6
17 Again,2009,Comedy|Drama|Family|Fantasy|Romance,102,Burr Steers,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,PG-13,6.4,146899,185
1776,1972,Drama|Family|History|Musical,168,Peter H. Hunt,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,PG,7.6,6303,129
1941,1979,Action|Comedy|War,142,Steven Spielberg,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,PG,5.9,25193,217
1982,2013,Drama,90,Tommy Oliver,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,R,7.1,122,3
2 Fast 2 Furious,2003,Action|Crime|Thriller,107,John Singleton,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,PG-13,5.9,191912,370
2 Guns,2013,Action|Comedy|Crime|Drama|Thriller,109,Baltasar Kormákur,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,R,6.7,156898,172
20 Dates,1998,Biography|Comedy|Romance,87,Myles Berkowitz,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,R,5.3,1622,83
20 Feet from Stardom,2013,Documentary|Music,91,Morgan Neville,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,PG-13,7.4,9540,80
"20,000 Leagues Under the Sea",1954,Adventure|Drama|Family|Fantasy|Sci-Fi,127,Richard Fleischer,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,Approved,7.2,22124,108
200 Cigarettes,1999,Comedy|Drama|Romance,101,Risa Bramon Garcia,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,R,5.9,13010,182
2001: A Space Odyssey,1968,Adventure|Mystery|Sci-Fi,161,Stanley Kubrick,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,G,8.3,427357,1736
2012,2009,Action|Adventure|Sci-Fi,158,Roland Emmerich,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,PG-13,5.8,283418,1055
2016: Obama's America,2012,Documentary,87,Dinesh D'Souza,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,PG,5.1,9010,199
21 & Over,2013,Comedy,93,Jon Lucas,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,R,5.9,60407,84
21 Grams,2003,Drama,124,Alejandro G. Iñárritu,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,R,7.7,189683,559
21 Jump Street,2012,Action|Comedy|Crime,109,Phil Lord,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,R,7.2,408302,345
21,2008,Crime|Drama|Thriller,123,Robert Luketic,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,PG-13,6.8,191470,278
22 Jump Street,2014,Action|Comedy|Crime,112,Phil Lord,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,R,7.1,258186,322
24 7: Twenty Four Seven,1997,Comedy|Drama|Romance|Sport,96,Shane Meadows,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,R,7.1,2081,21
25th Hour,2002,Drama,108,Spike Lee,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,R,7.7,149528,454
27 Dresses,2008,Comedy|Romance,111,Anne Fletcher,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,PG-13,6.1,124501,154
28 Days Later...,2002,Drama|Horror|Sci-Fi|Thriller,113,Danny Boyle,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,R,7.6,297250,1441
28 Days,2000,Comedy|Drama,103,Betty Thomas,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,PG-13,6,34597,194
28 Weeks Later,2007,Drama|Horror|Sci-Fi,100,Juan Carlos Fresnadillo,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,R,7,212167,713
2:13,2009,Horror|Thriller,96,Charles Adelman,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1,,4.8,961,12
3 Backyards,2010,Drama,88,Eric Mendelsohn,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,R,5.2,554,23
3 Days to Kill,2014,Action|Drama|Thriller,123,McG,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,PG-13,6.2,69355,211
3 Men and a Baby,1987,Comedy|Drama|Family,102,Leonard Nimoy,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,PG,5.9,36918,42
3 Ninjas Kick Back,1994,Action|Comedy|Family,93,Charles T. Kanganis,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,PG,4.3,6701,26
3 Strikes,2000,Comedy,82,DJ Pooh,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,R,4,1415,10
30 Days of Night,2007,Horror,113,David Slade,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,R,6.6,138435,527
30 Minutes or Less,2011,Action|Comedy|Crime,83,Ruben Fleischer,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,R,6.1,77935,122
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,Comedy,80,Craig Moss,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,R,2.6,2978,13
3000 Miles to Graceland,2001,Action|Comedy|Crime|Thriller,125,Demian Lichtenstein,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,R,5.9,38076,399
300: Rise of an Empire,2014,Action|Drama|Fantasy|War,102,Noam Murro,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,R,6.2,225273,523
300,2006,Action|Drama|Fantasy|War,117,Zack Snyder,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,R,7.7,607235,2073
3:10 to Yuma,2007,Adventure|Crime|Drama|Western,122,James Mangold,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,R,7.8,237872,560
3rd Rock from the Sun,,Comedy|Family|Sci-Fi,60,,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,TV-PG,7.8,38383,86
40 Days and 40 Nights,2002,Comedy|Romance,96,Michael Lehmann,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,R,5.6,62272,207
42nd Street,1933,Comedy|Musical|Romance,89,Lloyd Bacon,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,Unrated,7.7,7921,97
42,2013,Biography|Drama|Sport,128,Brian Helgeland,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,PG-13,7.5,66511,200
47 Ronin,2013,Action|Adventure|Drama|Fantasy,128,Carl Rinsch,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,PG-13,6.3,116994,324
5 Days of War,2011,Action|Drama|War,113,Renny Harlin,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,R,5.6,12128,61
50 First Dates,2004,Comedy|Romance,99,Peter Segal,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,PG-13,6.8,266103,456
50/50,2011,Comedy|Drama|Romance,100,Jonathan Levine,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,R,7.7,270441,378
500 Days of Summer,2009,Comedy|Drama|Romance,95,Marc Webb,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,PG-13,7.7,376600,494
51 Birch Street,2005,Documentary,90,Doug Block,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,Unrated,7.5,695,16
54,1998,Drama|Music,121,Mark Christopher,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,R,5.8,27675,181
55 Days at Peking,1963,Action|Adventure|Drama|History|War,154,Nicholas Ray,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,Unrated,6.8,4550,50
8 Days,2014,Drama|Thriller,90,Jaco Booyens,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,PG-13,6.9,44,3
8 Heads in a Duffel Bag,1997,Comedy|Crime,95,Tom Schulman,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,R,5.3,8005,49
8 Mile,2002,Drama|Music,110,Curtis Hanson,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,R,7,187181,564
88 Minutes,2007,Crime|Drama|Mystery|Thriller,108,Jon Avnet,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,R,5.9,65628,262
8: The Mormon Proposition,2010,Documentary,80,Reed Cowan,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,R,7.1,1138,30
8MM,1999,Mystery|Thriller,123,Joel Schumacher,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,R,6.5,104564,587
90 Minutes in Heaven,2015,Drama,121,Michael Polish,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,PG-13,4.6,2047,29
9,2009,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,79,Shane Acker,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,PG-13,7.1,111117,245
A Beautiful Mind,2001,Biography|Drama,135,Ron Howard,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,PG-13,8.2,610568,1171
A Beginner's Guide to Snuff,2016,Comedy|Horror|Thriller,87,Mitchell Altieri,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,8.7,13,
A Better Life,2011,Drama|Romance,98,Chris Weitz,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,PG-13,7.2,13174,81
A Bridge Too Far,1977,Drama|History|War,175,Richard Attenborough,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,PG,7.4,40277,210
A Bug's Life,1998,Adventure|Animation|Comedy|Family|Fantasy,95,John Lasseter,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,G,7.2,211226,317
A Charlie Brown Christmas,1965,Animation|Comedy|Family,25,Bill Melendez,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,TV-G,8.4,21826,126
A Christmas Carol,2009,Animation|Drama|Family|Fantasy,96,Robert Zemeckis,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,PG,6.8,72809,249
A Christmas Story,1983,Comedy|Family,94,Bob Clark,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,PG,8.1,104908,458
A Cinderella Story,2004,Comedy|Family|Romance,95,Mark Rosman,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,PG,5.9,62861,232
A Civil Action,1998,Drama,115,Steven Zaillian,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,PG-13,6.5,23302,181
A Dangerous Method,2011,Biography|Drama|Thriller,99,David Cronenberg,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,R,6.5,80617,190
A Dog of Flanders,1999,Drama|Family,100,Kevin Brodie,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,PG,6.3,781,20
A Dog's Breakfast,2007,Comedy,88,David Hewlett,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,,7,3262,46
A Farewell to Arms,1932,Drama|Romance|War,79,Frank Borzage,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,Unrated,6.6,3519,46
A Few Good Men,1992,Drama|Thriller,138,Rob Reiner,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,R,7.6,181879,319
A Funny Thing Happened on the Way to the Forum,1966,Comedy|Musical,99,Richard Lester,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,Approved,7,6804,72
A Good Day to Die Hard,2013,Action|Thriller,101,John Moore,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,R,5.3,165618,503
A Good Year,2006,Comedy|Drama|Romance,117,Ridley Scott,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,PG-13,6.9,70698,196
A Guy Named Joe,1943,Drama|Fantasy|Romance|War,122,Victor Fleming,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,Passed,7,1553,27
A Guy Thing,2003,Comedy|Romance,101,Chris Koch,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,PG-13,5.6,14147,92
A Hard Day's Night,1964,Comedy|Musical,87,Richard Lester,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,Approved,7.7,31429,219
A Haunted House 2,2014,Comedy|Fantasy,86,Michael Tiddes,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,R,4.7,14621,48
A Haunted House,2013,Comedy|Fantasy,86,Michael Tiddes,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,R,5.1,34620,107
A History of Violence,2005,Crime|Drama|Thriller,96,David Cronenberg,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,R,7.5,186606,1125
A Home at the End of the World,2004,Drama|Romance,97,Michael Mayer,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,R,6.8,12049,135
A Knight's Tale,2001,Action|Adventure|Romance,144,Brian Helgeland,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,PG-13,6.9,137003,658
A League of Their Own,1992,Comedy|Drama|Sport,128,Penny Marshall,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,PG,7.2,71754,166
A Lego Brickumentary,2014,Documentary,93,Kief Davidson,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,G,6.8,1220,11
A Lonely Place to Die,2011,Action|Adventure|Crime|Thriller,99,Julian Gilbey,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,R,6.3,22220,97
A Lot Like Love,2005,Comedy|Drama|Romance,107,Nigel Cole,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,PG-13,6.6,58297,161
A Low Down Dirty Shame,1994,Action|Comedy|Crime,100,Keenen Ivory Wayans,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,R,5.8,3924,26
A Madea Christmas,2013,Comedy|Drama,100,Tyler Perry,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,PG-13,4.7,4265,27
A Man Apart,2003,Action|Crime|Drama|Thriller,109,F. Gary Gray,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,R,6.1,38348,135
A Man for All Seasons,1966,Biography|Drama|History,120,Fred Zinnemann,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,Approved,7.9,23713,167
A Mighty Heart,2007,Biography|Drama|History|Thriller|War,108,Michael Winterbottom,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,R,6.7,24150,118
A Mighty Wind,2003,Comedy|Music,91,Christopher Guest,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,PG-13,7.3,22408,272
A Million Ways to Die in the West,2014,Comedy|Western,136,Seth MacFarlane,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,R,6.1,136093,416
A Most Violent Year,2014,Action|Crime|Drama|Thriller,125,J.C. Chandor,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,R,7,45799,180
A Most Wanted Man,2014,Crime|Drama|Thriller,122,Anton Corbijn,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,R,6.8,57210,158
A Night at the Roxbury,1998,Comedy|Music|Romance,82,John Fortenberry,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,PG-13,6.2,48458,239
A Nightmare on Elm Street 2: Freddy's Revenge,1985,Fantasy|Horror,87,Jack Sholder,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,R,5.4,43485,327
A Nightmare on Elm Street 3: Dream Warriors,1987,Action|Fantasy|Horror|Thriller,88,Chuck Russell,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,X,6.6,49820,311
A Nightmare on Elm Street 4: The Dream Master,1988,Fantasy|Horror|Thriller,99,Renny Harlin,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,R,5.7,36108,260
A Nightmare on Elm Street 5: The Dream Child,1989,Fantasy|Horror|Romance|Thriller,89,Stephen Hopkins,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,X,5.1,29659,227
A Nightmare on Elm Street,1984,Horror,101,Wes Craven,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,X,7.5,149285,668
A Passage to India,1984,Adventure|Drama|History,164,David Lean,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,PG,7.4,12980,89
A Perfect Getaway,2009,Adventure|Mystery|Thriller,108,David Twohy,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,R,6.5,56338,215
A Plague So Pleasant,2013,Drama|Horror|Thriller,76,Benjamin Roberds,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,,6.3,38,3
A Prairie Home Companion,2006,Comedy|Drama|Music,105,Robert Altman,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,PG-13,6.8,19655,280
A Room for Romeo Brass,1999,Comedy|Drama,90,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,R,7.7,4471,47
A Room with a View,1985,Drama|Romance,117,James Ivory,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,Unrated,7.4,29610,94
A Scanner Darkly,2006,Animation|Drama|Mystery|Sci-Fi|Thriller,100,Richard Linklater,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,R,7.1,89383,293
A Serious Man,2009,Comedy|Drama,106,Ethan Coen,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,R,7,102125,324
A Shine of Rainbows,2009,Drama|Family,101,Vic Sarin,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,PG,7.2,1696,19
A Simple Plan,1998,Crime|Drama|Thriller,121,Sam Raimi,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,R,7.5,50656,416
A Simple Wish,1997,Comedy|Family|Fantasy,89,Michael Ritchie,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,PG,5.4,4288,21
A Single Man,2009,Drama|Romance,99,Tom Ford,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,R,7.6,83182,247
A Sound of Thunder,2005,Action|Adventure|Horror|Sci-Fi|Thriller,102,Peter Hyams,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,PG-13,4.2,16474,301
A Streetcar Named Desire,1951,Drama,125,Elia Kazan,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,PG,8,78454,233
A Thin Line Between Love and Hate,1996,Comedy|Crime|Drama|Romance|Thriller,108,Martin Lawrence,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,R,5.6,3122,14
A Thousand Words,2012,Comedy|Drama,91,Brian Robbins,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,PG-13,5.9,30842,93
A Time to Kill,1996,Crime|Drama|Thriller,149,Joel Schumacher,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,R,7.4,99558,236
A Touch of Frost,,Crime|Drama|Mystery,105,,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,,7.8,4438,33
A True Story,2013,Comedy,96,Malcolm Goodwin,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,,5.5,181,4
A Turtle's Tale: Sammy's Adventures,2010,Adventure|Animation|Family,88,Ben Stassen,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,PG,6.1,5385,22
A Very Harold & Kumar 3D Christmas,2011,Adventure|Comedy,90,Todd Strauss-Schulson,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,R,6.3,55008,93
A View to a Kill,1985,Action|Adventure|Thriller,131,John Glen,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,PG,6.3,68565,300
A Walk Among the Tombstones,2014,Crime|Drama|Mystery|Thriller,114,Scott Frank,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,R,6.5,87950,207
A Walk on the Moon,1999,Drama,107,Tony Goldwyn,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,R,6.6,6782,114
A Walk to Remember,2002,Drama|Romance,101,Adam Shankman,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,PG,7.4,162701,962
A.I. Artificial Intelligence,2001,Adventure|Drama|Sci-Fi,146,Steven Spielberg,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,PG-13,7.1,238747,2153
ATL,2006,Comedy|Crime|Drama|Music|Romance,105,Chris Robinson,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,PG-13,6,8522,92
AVP: Alien vs. Predator,2004,Action|Horror|Sci-Fi|Thriller,109,Paul W.S. Anderson,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,PG-13,5.6,143628,1283
AWOL-72,2015,Thriller,82,Christian Sesma,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,R,3.9,520,8
Abandoned,2015,Drama,86,John Laing,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,,6.3,333,6
Abandon,2002,Drama|Music|Mystery|Romance|Thriller,99,Stephen Gaghan,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,PG-13,4.9,7909,157
Abduction,2011,Action|Mystery|Thriller,106,John Singleton,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,PG-13,5,65044,173
Aberdeen,2000,Drama,106,Hans Petter Moland,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,,7.3,2601,35
About Last Night,2014,Comedy|Romance,100,Steve Pink,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,R,6.1,16979,42
About Schmidt,2002,Comedy|Drama,125,Alexander Payne,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,R,7.2,107557,612
About Time,2013,Drama|Fantasy|Romance,123,Richard Curtis,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,R,7.8,202341,391
About a Boy,2002,Comedy|Drama|Romance,101,Chris Weitz,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,PG-13,7.1,144021,391
Abraham Lincoln: Vampire Hunter,2012,Action|Fantasy|Horror,105,Timur Bekmambetov,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,R,5.9,128629,348
Absentia,2011,Drama|Horror|Mystery,87,Mike Flanagan,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,R,5.8,13065,136
Absolute Power,1997,Action|Crime|Drama|Thriller,121,Clint Eastwood,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,R,6.7,39529,142
Accidental Love,2015,Comedy|Romance,100,David O. Russell,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,PG-13,4,5006,28
Ace Ventura: Pet Detective,1994,Comedy,78,Tom Shadyac,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,PG-13,6.9,216486,242
Ace Ventura: When Nature Calls,1995,Adventure|Comedy,90,Steve Oedekerk,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,PG-13,6.3,160321,178
Across the Universe,2007,Drama|Fantasy|Musical|Romance,133,Julie Taymor,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,PG-13,7.4,91863,524
Act of Valor,2012,Action|Adventure|Drama|Thriller|War,110,Mike McCoy,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,R,6.5,57996,349
Action Jackson,1988,Action|Comedy|Crime|Thriller,96,Craig R. Baxley,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,R,5.2,7569,65
Adam Resurrected,2008,Drama|War,106,Paul Schrader,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,R,6.3,3075,31
Adam,2009,Drama|Romance,99,Max Mayer,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1,PG-13,7.2,29239,70
Adaptation.,2002,Comedy|Drama,81,Spike Jonze,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,R,7.7,143251,710
Admission,2013,Comedy|Drama|Romance,107,Paul Weitz,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,PG-13,5.7,28573,87
Adore,2013,Drama|Romance,112,Anne Fontaine,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,R,6.2,23334,87
Adulterers,2015,Crime|Drama|Thriller,91,H.M. Coakley,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,,4.9,514,1
Adventureland,2009,Comedy|Drama|Romance,107,Greg Mottola,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,R,6.8,131180,220
