movie_name,title_year,num_voted_users,movie_imdb_link,num_user_for_reviews,imdb_score,num_critic_for_reviews
3 Ninjas Kick Back,1994,6701,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,26,4.3,5
3 Strikes,2000,1415,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,4,22
3:10 to Yuma,2007,237872,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,560,7.8,295
30 Days of Night,2007,138435,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,6.6,304
30 Minutes or Less,2011,77935,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122,6.1,220
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,2978,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13,2.6,29
300,2006,607235,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,7.7,460
300: Rise of an Empire,2014,225273,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,523,6.2,366
3000 Miles to Graceland,2001,38076,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,5.9,113
3rd Rock from the Sun,,38383,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,86,7.8,22
"4 Months, 3 Weeks and 2 Days",2007,44763,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,172,7.9,233
40 Days and 40 Nights,2002,62272,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,207,5.6,140
42,2013,66511,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200,7.5,216
42nd Street,1933,7921,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,7.7,65
47 Ronin,2013,116994,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,6.3,218
5 Days of War,2011,12128,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,61,5.6,74
50 First Dates,2004,266103,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,456,6.8,147
50/50,2011,270441,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,7.7,327
500 Days of Summer,2009,376600,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,7.7,331
51 Birch Street,2005,695,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,7.5,45
54,1998,27675,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,181,5.8,63
55 Days at Peking,1963,4550,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,50,6.8,15
8 Days,2014,44,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,6.9,
8 Heads in a Duffel Bag,1997,8005,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,49,5.3,30
8 Mile,2002,187181,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,7,119
8 Women,2002,23660,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,7.1,128
8: The Mormon Proposition,2010,1138,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,7.1,28
88 Minutes,2007,65628,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,262,5.9,158
8MM,1999,104564,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,587,6.5,138
9,2009,111117,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,245,7.1,263
90 Minutes in Heaven,2015,2047,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,4.6,12
A Beautiful Mind,2001,610568,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,1171,8.2,205
A Beginner's Guide to Snuff,2016,13,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,8.7,
A Better Life,2011,13174,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81,7.2,94
A Bridge Too Far,1977,40277,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,7.4,56
A Bug's Life,1998,211226,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,317,7.2,117
A Charlie Brown Christmas,1965,21826,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,8.4,43
A Christmas Carol,2009,72809,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,6.8,240
A Christmas Story,1983,104908,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,458,8.1,109
A Cinderella Story,2004,62861,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,232,5.9,69
A Civil Action,1998,23302,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,181,6.5,110
A Dangerous Method,2011,80617,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,6.5,345
A Dog of Flanders,1999,781,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,6.3,25
A Dog's Breakfast,2007,3262,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,7,8
A Farewell to Arms,1932,3519,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,6.6,42
A Few Good Men,1992,181879,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,7.6,81
A Fine Step,2014,207,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,5.3,1
A Fistful of Dollars,1964,147566,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,8,122
A Funny Thing Happened on the Way to the Forum,1966,6804,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,7,25
A Good Day to Die Hard,2013,165618,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,503,5.3,412
A Good Year,2006,70698,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196,6.9,147
A Guy Named Joe,1943,1553,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,27,7,9
A Guy Thing,2003,14147,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,5.6,81
A Hard Day's Night,1964,31429,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,7.7,105
A Haunted House,2013,34620,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107,5.1,129
A Haunted House 2,2014,14621,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,48,4.7,69
A History of Violence,2005,186606,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,1125,7.5,441
A Home at the End of the World,2004,12049,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,6.8,84
A Knight's Tale,2001,137003,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,6.9,167
A League of Their Own,1992,71754,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,166,7.2,41
A Lego Brickumentary,2014,1220,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,6.8,43
A Lonely Place to Die,2011,22220,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,97,6.3,135
A Lot Like Love,2005,58297,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,161,6.6,112
A Low Down Dirty Shame,1994,3924,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,26,5.8,8
A Madea Christmas,2013,4265,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,4.7,24
A Man Apart,2003,38348,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,135,6.1,110
A Man for All Seasons,1966,23713,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,167,7.9,62
A Mighty Heart,2007,24150,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,118,6.7,190
A Mighty Wind,2003,22408,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,7.3,97
A Million Ways to Die in the West,2014,136093,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416,6.1,303
A Monster in Paris,2011,15790,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40,6.8,63
A Most Violent Year,2014,45799,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180,7,350
A Most Wanted Man,2014,57210,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,158,6.8,291
A Night at the Roxbury,1998,48458,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,239,6.2,63
A Nightmare on Elm Street,1984,149285,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,7.5,256
A Nightmare on Elm Street 2: Freddy's Revenge,1985,43485,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,327,5.4,138
A Nightmare on Elm Street 3: Dream Warriors,1987,49820,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,6.6,131
A Nightmare on Elm Street 4: The Dream Master,1988,36108,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,260,5.7,102
A Nightmare on Elm Street 5: The Dream Child,1989,29659,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,5.1,88
A Passage to India,1984,12980,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,7.4,52
A Perfect Getaway,2009,56338,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,215,6.5,160
A Perfect Plan,2012,5525,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,11,6.3,58
A Plague So Pleasant,2013,38,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,3,6.3,13
A Prairie Home Companion,2006,19655,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,280,6.8,211
A Room for Romeo Brass,1999,4471,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,7.7,29
A Room with a View,1985,29610,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,94,7.4,55
A Scanner Darkly,2006,89383,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,7.1,232
A Separation,2011,151812,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,8.4,354
A Serious Man,2009,102125,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,7,341
A Shine of Rainbows,2009,1696,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,7.2,37
A Simple Plan,1998,50656,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,416,7.5,125
A Simple Wish,1997,4288,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,5.4,21
A Single Man,2009,83182,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,7.6,281
A Sound of Thunder,2005,16474,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,301,4.2,113
A Streetcar Named Desire,1951,78454,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,233,8,94
A Tale of Three Cities,2015,117,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,6,6.2,6
A Thin Line Between Love and Hate,1996,3122,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,5.6,11
A Thousand Words,2012,30842,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,93,5.9,70
A Time to Kill,1996,99558,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,236,7.4,71
A Touch of Frost,,4438,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,33,7.8,14
A True Story,2013,181,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4,5.5,
A Turtle's Tale: Sammy's Adventures,2010,5385,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22,6.1,56
A Very Harold & Kumar 3D Christmas,2011,55008,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,6.3,161
A Very Long Engagement,2004,62607,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,239,7.7,186
A View to a Kill,1985,68565,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,300,6.3,108
A Walk Among the Tombstones,2014,87950,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,207,6.5,253
A Walk on the Moon,1999,6782,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,114,6.6,47
A Walk to Remember,2002,162701,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,962,7.4,80
A Warrior's Tail,2015,393,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,7,4.1,5
"A Woman, a Gun and a Noodle Shop",2009,2410,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,5.7,101
A.I. Artificial Intelligence,2001,238747,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,2153,7.1,281
Æon Flux,2005,110614,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,532,5.5,178
Abandon,2002,7909,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,157,4.9,72
Abandoned,2015,333,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,6,6.3,
ABCD (Any Body Can Dance),2013,5018,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,38,6.4,15
Abduction,2011,65044,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,173,5,180
Aberdeen,2000,2601,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,7.3,28
About a Boy,2002,144021,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,391,7.1,158
About Last Night,2014,16979,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,42,6.1,90
About Schmidt,2002,107557,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,612,7.2,217
About Time,2013,202341,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,391,7.8,274
Abraham Lincoln: Vampire Hunter,2012,128629,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,5.9,393
Absentia,2011,13065,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,136,5.8,125
Absolute Power,1997,39529,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,142,6.7,76
Accidental Love,2015,5006,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28,4,56
Ace Ventura: Pet Detective,1994,216486,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,242,6.9,61
Ace Ventura: When Nature Calls,1995,160321,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,178,6.3,59
Across the Universe,2007,91863,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,7.4,156
Act of Valor,2012,57996,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,349,6.5,216
Action Jackson,1988,7569,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,5.2,35
Adam,2009,29239,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1,70,7.2,122
Adam Resurrected,2008,3075,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,31,6.3,75
Adaptation.,2002,143251,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,710,7.7,241
Addicted,2014,5975,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,5.2,9
Admission,2013,28573,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87,5.7,150
Adore,2013,23334,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,87,6.2,141
Adulterers,2015,514,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1,4.9,8
Adventureland,2009,131180,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220,6.8,248
After,2012,3699,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,27,5.4,34
After Earth,2013,158720,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,744,4.9,349
After the Sunset,2004,38298,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,147,6.3,117
After.Life,2009,30836,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,137,5.9,138
Against the Ropes,2004,5917,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,50,5.3,76
Against the Wild,2013,840,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,4.7,11
Agent Cody Banks,2003,26755,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104,5,79
Agent Cody Banks 2: Destination London,2004,11092,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,44,4.5,55
Agora,2009,52496,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,172,7.2,180
Aimee & Jaguar,1999,5153,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,51,7.3,63
Air Bud,1997,12942,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,34,5.1,35
Air Force One,1997,146134,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,393,6.4,142
Airborne,1993,5061,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,70,6.2,9
Airlift,2016,30977,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,178,8.5,39
Airplane!,1980,160281,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,427,7.8,134
Ajami,2009,4999,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,32,7.4,100
Akeelah and the Bee,2006,15337,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,7.5,95
Akira,1988,106160,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,8.1,150
Aladdin,1992,260939,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,8,124
Albert Nobbs,2011,19616,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,6.7,222
Albino Alligator,1996,6632,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,6.1,37
Alex & Emma,2003,11520,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,105,5.6,73
Alex Cross,2012,28257,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,151,5.1,211
Alex Rider: Operation Stormbreaker,2006,20201,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,187,5.1,66
Alexander,2004,138863,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,5.5,248
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,29738,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85,6.2,119
Alexander's Ragtime Band,1938,1381,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,29,7,10
Alfie,2004,43442,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,146,6.2,135
Ali,2001,79186,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,386,6.8,174
Alias Betty,2001,1439,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,6.9,38
Alice in Wonderland,2010,306320,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,6.5,451
Alice Through the Looking Glass,2016,21352,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,6.4,218
Alien,1979,563827,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,8.5,392
Alien 3,1992,207686,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,776,6.4,210
Alien Uprising,2012,2753,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,82,3.1,20
Alien Zone,1978,440,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,4.1,8
Alien: Resurrection,1997,170179,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,656,6.3,223
Aliens,1986,488537,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,1076,8.4,250
Aliens in the Attic,2009,16580,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,55,5.4,82
Aliens vs. Predator: Requiem,2007,92789,http://www.imdb.com/title/tt0758730/?ref_=fn_tt_tt_1,998,4.7,211
Alive,1993,38949,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,112,7.1,43
All About Steve,2009,33088,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,143,4.8,128
All About the Benjamins,2002,9693,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,33,5.7,40
All Good Things,2010,41249,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,67,6.3,140
All Hat,2007,436,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,5.3,8
All Is Bright,2013,4478,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,5.6,41
All Is Lost,2013,59545,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,6.9,346
All or Nothing,2002,8161,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,7.6,81
All Superheroes Must Die,2011,1771,http://www.imdb.com/title/tt1836212/?ref_=fn_tt_tt_1,35,4,42
All That Jazz,1979,19228,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146,7.8,84
All the Boys Love Mandy Lane,2006,25951,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,129,5.6,233
All the King's Men,2006,20740,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,178,6.2,127
All the Pretty Horses,2000,11388,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,183,5.8,85
All the Queen's Men,2001,2236,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,40,4.5,19
All the Real Girls,2003,9233,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,126,6.9,88
